,id,laydate,year,weight,joeweight,length,breadth,volume,mage,fage,clutch,fertile,sire,srear,dam,drear,pair,minus,eggcount,double,doubletot,comments,eggsb,damsb,siresb,damF,sireF,relatedness
74,00KITS1,4/4/2000,2000,304.09,306.54,110.92,70,275.56,9,9,1,Y,Moko,Artificial,Kitsuk,Artificial,7,1999,1,N,0,Early Term Death,NA,69,58,-0.0226,0.0161,-0.0364
75,00TENE1,4/8/2000,2000,250.04,244.4,106.49,63.79,219.7,9,9,1,N,Pawoco,Artificial,Teneiya,Artificial,6,1999,2,Y,1,Infertile.,NA,70,60,-0.0226,0.0525,0.0202
76,00KOYO1,4/10/2000,2000,262.5,259.83,106.34,65.82,233.57,6,8,1,N,Inja,Artificial,Koyo,Artificial,3,1999,0,N,0,Infertile.,NA,76,104,0.0525,-0.0375,0.0704
77,00CHUH2,4/29/2000,2000,282.42,278.07,107.54,67.71,249.97,9,10,2,N,O-Tum,Artificial,Chuhlna,Artificial,6,1999,1,N,1,Infertile.,NA,51,62,-0.0508,0.0549,-0.0077
78,01LIKU1,2/8/2001,2001,270.93,267.57,103.54,67.69,240.53,8,8,1,N,Wishtoyo,Artificial,Likuyi,Artificial,4,2000,1,N,0,Infertile,NA,96,83,-0.0591,0.0023,0.036
79,01PIRU1,2/13/2001,2001,293.44,296.24,105.62,70.52,266.3,11,17,1,Y,Tumusai,Artificial,Piru,Artificial,8,2000,1,N,4,Hand Hatched; Stuck to Membrane;Very Active,240,34,53,0,0.0161,-0.0339
80,01HOSI1,2/14/2001,2001,267.35,262.53,99.84,68.28,235.99,11,8,1,Y,Maluk,Artificial,Hosima,Parent,4,2000,2,Y,1,Pip and Started Rotating Towards Bottem;Hand Hatched; ,241,84,55,0.0023,0.0525,0.0908
81,01ROTC1,2/16/2001,2001,273.06,275.83,104.32,68.47,247.96,9,10,1,N,Atishwin,Artificial,Rotciwi,Artificial,7,2000,1,N,0,Infertile,NA,59,73,0.0161,-0.0226,-0.0364
82,01TSUT1,2/22/2001,2001,273.83,274.41,106.5,67.59,246.67,12,10,1,N,Kaduku,Parent,Tsuts,Artificial,8,2000,2,Y,2,Infertile,NA,68,48,-0.0316,0.0525,0.05
83,01TECU1,2/25/2001,2001,256.02,253.43,100.46,66.88,227.82,12,18,1,Y,Shasta,Artificial,Tecuya,Artificial,8,2000,2,Y,5,Fostered to Tsuts; Pulled Due to ♀ Attacking ♂; Brooding and Not Feeding,243,30,47,0,-0.0316,0.0046
84,01KARE1,3/4/2001,2001,286.97,283.8,110.44,67.5,255.12,9,11,1,Y,Tapu,Parent,Kareya,Artificial,7,2000,1,N,0,Gave to Adults on Day48; Pulled for 3 Hours to Hand Hatch Then Returned,246,56,71,0.0525,-0.0316,0.05
85,01HAKU1,3/11/2001,2001,306.18,311.35,109.05,71.15,279.89,8,9,1,Y,Siwon,Artificial,Haku,Artificial,4,2000,1,N,0,Died Day 53,NA,77,85,0.0525,-0.0375,0.0704
86,01HOSI2,3/13/2001,2001,254.94,249.88,103.84,65.32,224.63,11,8,2,Y,Maluk,Artificial,Hosima,Parent,4,2000,2,Y,1,Gave to Adults;Pulled to Hand Hatched,250,84,55,0.0023,0.0525,0.0908
87,01KOYO1,3/13/2001,2001,270.29,271.49,105.46,67.56,244.05,7,9,1,Y,Inja,Artificial,Koyo,Artificial,4,2000,1,N,0,Hand Hatched; Given to Hosima/Maluk,249,76,104,0.0525,-0.0375,0.0704
88,01KSEN1,3/14/2001,2001,288.07,281.92,116.51,65.5,253.43,8,8,1,Y,Xopoy,Artificial,Ksen,Artificial,4,2000,0,N,0,Hand Hatched,252,94,92,-0.0226,0.0161,-0.0364
89,01PIRU2,3/14/2001,2001,283.75,286.11,104.66,69.62,257.19,11,17,2,Y,Tumusai,Artificial,Piru,Artificial,8,2000,1,N,4,,248,34,53,0,0.0161,-0.0339
90,01CHUH1,3/16/2001,2001,309.93,303.14,109.94,69.92,272.5,10,11,1,Y,O-Tum,Artificial,Chuhlna,Artificial,7,2000,2,Y,2,Returned to Adults on Day 52; Dead ≤ Day 56; No Pip,NA,51,62,-0.0508,0.0549,-0.0077
91,01KITS1,3/16/2001,2001,305.82,306.47,108.28,70.84,275.49,10,10,1,Y,Moko,Artificial,Kitsuk,Artificial,8,2000,1,N,0,"After Egg Pipped and Vocalized, ♂ Began Defending the Egg From The ♀",253,69,58,-0.0226,0.0161,-0.0364
92,01TECU2,3/24/2001,2001,260.43,260.74,102.04,67.31,234.39,12,18,2,Y,Shasta,Artificial,Tecuya,Artificial,8,2000,2,Y,5,"Returned to Adults on Day 29; Pulled To Hand Hatched, Then Returned to Adults",257,30,47,0,-0.0316,0.0046
93,01JALA1,3/26/2001,2001,261.93,259.04,108.24,65.14,232.86,10,9,1,N,Susil,Artificial,Jalama,Artificial,1,2000,1,N,0,Infertile,NA,80,67,-0.0508,-0.0316,-0.0179
512,01TOWA1,3/27/2001,2001,NA,NA,NA,NA,NA,8,12,1,NA,Alishaw,Artificial,Towasinah,Artificial,1,2000,2,Y,4,"Shell Fragments Found in Flight on 2 Apr, Suspected Lay Date 27 Mar",NA,49,90,-0.0508,-0.0083,-0.0052
94,01HOY1,3/28/2001,2001,291.36,285.44,102.58,70.24,256.59,10,8,1,N,Preghawish,Artificial,Hoy,Artificial,4,2000,1,N,0,Infertile,NA,97,61,0.004,0.0525,0.0708
